 i	r	q	dt	tïð	n	m	Nêàí.	tí.î	tîáñ	tê.î
 1	0.607	0.981	--	0.000	0	0	1	0.000	0.003	0.003
 2	0.876	0.937	0.002	0.002	1	0	2	0.002	0.011	0.013
 3	0.907	0.259	0.002	0.004	1	0	1	0.004	0.225	0.229
 4	0.602	0.687	0.008	0.012	2	0	3	0.012	0.063	0.075
 5	0.756	0.810	0.005	0.017	2	0	2	0.017	0.035	0.052
 6	0.261	0.956	0.022	0.039	3	0	4	0.039	0.007	0.047
 7	0.285	0.280	0.021	0.060	2	0	4	0.060	0.212	0.272
 8	0.761	0.604	0.005	0.065	3	0	2	0.065	0.084	0.149
 9	0.694	0.479	0.006	0.071	4	0	5	0.071	0.123	0.193
 10	0.306	0.601	0.020	0.091	4	0	3	0.091	0.085	0.175
 11	0.266	0.636	0.022	0.113	5	0	2	0.149	0.075	0.224
 12	0.407	0.907	0.015	0.128	5	1	3	0.175	0.016	0.192
 13	0.200	0.724	0.027	0.155	5	1	3	0.192	0.054	0.245
 14	0.840	0.601	0.003	0.157	5	2	5	0.193	0.085	0.278
 15	0.353	0.839	0.017	0.175	5	3	2	0.224	0.029	0.253
 16	0.540	0.468	0.010	0.185	5	3	1	0.229	0.127	0.355
 17	0.224	0.210	0.025	0.210	5	2	3	0.245	0.260	0.506
 18	0.659	0.623	0.007	0.217	5	3	2	0.253	0.079	0.332
 19	0.725	0.405	0.005	0.222	5	4	4	0.272	0.151	0.423
 20	0.432	0.684	0.014	0.236	5	3	5	0.278	0.063	0.342
 21	0.039	0.404	0.054	0.290	5	0	2	0.332	0.151	0.483
 22	0.191	0.773	0.028	0.318	5	1	5	0.342	0.043	0.385
 23	0.857	0.979	0.003	0.320	5	2	1	0.355	0.003	0.359
 24	0.881	0.226	0.002	0.323	5	3	1	0.359	0.248	0.607
 25	0.090	0.965	0.040	0.363	5	0	5	0.385	0.006	0.391
 26	0.075	0.565	0.043	0.406	4	0	5	0.406	0.095	0.501
 27	0.412	0.054	0.015	0.421	5	0	4	0.423	0.488	0.911
 28	0.647	0.022	0.007	0.428	5	0	2	0.483	0.638	1.122
 29	0.322	0.417	0.019	0.447	5	1	5	0.501	0.146	0.647
 30	0.298	0.019	0.020	0.467	5	2	3	0.506	0.661	1.167
 31	0.456	0.296	0.013	0.480	5	3	1	0.607	0.203	0.809
 32	0.963	0.378	0.001	0.481	5	4	5	0.647	0.162	0.809
 33	0.269	0.395	0.022	0.503	5	3	5	0.809	0.155	0.964
 34	0.059	0.042	0.047	0.550	5	3	1	0.809	0.527	1.336
 35	0.490	0.036	0.012	0.562	5	4	4	0.911	0.555	1.466
 36	0.534	0.660	0.010	0.572	5	5	--	--	0.069	--
 37	0.685	0.253	0.006	0.578	5	5	--	--	0.229	--
 38	0.003	0.748	0.096	0.675	5	3	5	0.964	0.048	1.012
 39	0.366	0.929	0.017	0.691	5	4	5	1.012	0.012	1.025
 40	0.926	0.415	0.001	0.693	5	5	--	--	0.146	--
 41	0.990	0.293	0.000	0.693	5	5	--	--	0.205	--
 42	0.997	0.871	0.000	0.693	5	5	--	--	0.023	--
 43	0.601	0.334	0.008	0.701	5	5	--	--	0.183	--
 44	0.761	0.372	0.005	0.706	5	5	--	--	0.165	--
 45	0.329	0.423	0.019	0.724	5	5	--	--	0.143	--
 46	0.085	0.935	0.041	0.765	5	5	--	--	0.011	--
 47	0.112	0.439	0.036	0.802	5	5	--	--	0.137	--
 48	0.606	0.188	0.008	0.810	5	3	5	1.025	0.278	1.303
 49	0.511	0.503	0.011	0.821	5	4	2	1.122	0.115	1.236
 50	0.801	0.331	0.004	0.825	5	5	--	--	0.184	--
 51	0.934	0.653	0.001	0.826	5	5	--	--	0.071	--
 52	0.985	0.393	0.000	0.826	5	5	--	--	0.156	--
 53	0.614	0.177	0.008	0.835	5	5	--	--	0.289	--
 54	0.469	0.955	0.013	0.847	5	5	--	--	0.008	--
 55	0.907	0.316	0.002	0.849	5	5	--	--	0.192	--
 56	0.400	0.392	0.015	0.864	5	5	--	--	0.156	--
 57	0.536	0.457	0.010	0.874	5	5	--	--	0.130	--
 58	0.679	0.569	0.006	0.881	5	5	--	--	0.094	--
 59	0.914	0.235	0.002	0.882	5	5	--	--	0.242	--
 60	0.780	0.971	0.004	0.887	5	5	--	--	0.005	--
 61	0.280	0.856	0.021	0.908	5	5	--	--	0.026	--
 62	0.559	0.540	0.010	0.917	5	4	3	1.167	0.103	1.270
 63	0.654	0.101	0.007	0.925	5	5	--	--	0.382	--
 64	0.256	0.183	0.023	0.947	5	5	--	--	0.283	--
 65	0.244	0.336	0.023	0.971	5	4	2	1.236	0.182	1.418
 66	0.031	0.111	0.058	1.029	5	3	3	1.270	0.367	1.636
 67	0.520	0.299	0.011	1.039	5	4	5	1.303	0.201	1.504
 68	0.680	0.040	0.006	1.046	5	5	--	--	0.536	--
 69	0.302	0.864	0.020	1.066	5	5	--	--	0.024	--
 70	0.691	0.860	0.006	1.072	5	5	--	--	0.025	--
 71	0.580	0.149	0.009	1.081	5	5	--	--	0.317	--
 72	0.780	0.911	0.004	1.085	5	5	--	--	0.015	--
 73	0.956	0.852	0.001	1.086	5	5	--	--	0.027	--
 74	0.466	0.510	0.013	1.099	5	5	--	--	0.112	--
 75	0.225	0.114	0.025	1.124	5	4	1	1.336	0.363	1.699
 76	0.364	0.024	0.017	1.140	5	5	--	--	0.623	--
 77	0.352	0.262	0.017	1.158	5	5	--	--	0.223	--
 78	0.720	0.731	0.005	1.163	5	5	--	--	0.052	--
 79	0.485	0.999	0.012	1.175	5	4	2	1.418	0.000	1.418
 80	0.483	0.991	0.012	1.187	5	5	--	--	0.001	--
 81	0.414	0.660	0.015	1.202	5	5	--	--	0.069	--
 82	0.948	0.114	0.001	1.203	5	5	--	--	0.362	--
 83	0.565	0.681	0.010	1.213	5	5	--	--	0.064	--
 84	0.950	0.759	0.001	1.213	5	5	--	--	0.046	--
 85	0.907	0.996	0.002	1.215	5	5	--	--	0.001	--
 86	0.725	0.946	0.005	1.220	5	5	--	--	0.009	--
 87	0.623	0.385	0.008	1.228	5	5	--	--	0.159	--
 88	0.136	0.884	0.033	1.262	5	4	2	1.418	0.020	1.439
 89	0.694	0.396	0.006	1.268	5	5	--	--	0.155	--
 90	0.064	0.964	0.046	1.314	5	3	2	1.439	0.006	1.445
 91	0.325	0.059	0.019	1.332	5	4	2	1.445	0.473	1.917
 92	0.426	0.548	0.014	1.346	5	4	4	1.466	0.100	1.566
 93	0.965	0.742	0.001	1.347	5	5	--	--	0.050	--
 94	0.838	0.734	0.003	1.350	5	5	--	--	0.052	--
 95	0.206	0.860	0.026	1.376	5	5	--	--	0.025	--
 96	0.266	0.215	0.022	1.398	5	5	--	--	0.256	--
 97	0.740	0.330	0.005	1.403	5	5	--	--	0.185	--
 98	0.421	0.810	0.014	1.418	5	5	--	--	0.035	--
 99	0.363	0.298	0.017	1.435	5	3	5	1.504	0.202	1.706
 100	0.194	0.335	0.027	1.462	5	2	4	1.566	0.183	1.748
 101	0.395	0.376	0.015	1.478	5	2	3	1.636	0.163	1.799
