Μερÿφ 4:
	k	x	P
	0	0	0.000
	7	7	10.480
	14	7	14.973
	21	14	19.308
	28	21	22.636
	35	28	25.444
	42	35	27.922
	49	42	30.153
	56	49	32.209
	63	56	34.125
	70	56	35.981
	77	63	37.781
	84	70	39.477
	91	77	41.096
	98	84	42.644
	105	91	44.121
	112	91	45.551
	119	98	46.978
	126	105	48.358
	133	112	49.683
	140	119	50.977
	147	126	52.230
	154	133	53.448
	161	133	54.650
	168	140	55.833
	175	147	56.992
	182	154	58.124
	189	161	59.225
	196	168	60.309
	203	168	61.365
	210	175	62.420
	217	182	63.461
	224	189	64.476
	231	196	65.472
	238	203	66.455
	245	210	67.421
	252	210	68.379
	259	217	69.324
	266	224	70.258
	273	231	71.181
	280	238	72.083
	287	245	72.979
	294	245	73.865
	301	252	74.744
	308	259	75.606
	315	266	76.466
	322	273	77.306
	329	280	78.138
	336	287	78.964
	343	287	79.781
	350	294	80.593
	357	301	81.401
	364	308	82.192
	371	315	82.976
	378	322	83.751
	385	329	84.524
	392	329	85.295
	399	336	86.053
	406	343	86.803
	413	350	87.551
	420	357	88.288
	427	357	89.016
	434	364	89.743
	441	371	90.468
	448	378	91.187
	455	385	91.895
	462	392	92.597
	469	392	93.295
	476	399	93.992
	483	406	94.682
	490	413	95.366
	497	420	96.044
	504	427	96.718
	511	434	97.385
	518	441	98.049
	525	441	98.708
	532	448	99.365
	539	455	100.018
	546	462	100.667
	553	469	101.308
	560	476	101.950
	567	476	102.586
	574	483	103.218
	581	490	103.841
	588	497	104.471
	595	504	105.085
	602	511	105.703
	609	511	106.315
	616	518	106.926
	623	525	107.531
	630	532	108.134
	637	539	108.732
	644	546	109.331
	651	546	109.921
	658	553	110.508
	665	560	111.095
	672	567	111.680
	679	574	112.263
	686	581	112.841
	693	588	113.412
	700	595	113.984
	707	595	114.551
	714	602	115.114
	721	609	115.676
	728	616	116.241
	735	616	116.797
	742	623	117.351
	749	630	117.905
	756	637	118.458
	763	644	119.003
	770	651	119.546
	777	658	120.090
	784	665	120.626
	791	672	121.163
	798	679	121.696
	805	686	122.231
	812	686	122.763
	819	686	123.290
	826	693	123.812
	833	700	124.337
	840	707	124.861
	847	714	125.385
	854	721	125.899
	861	728	126.415
	868	735	126.928
	875	742	127.441
	882	749	127.946
	889	749	128.451
	896	756	128.955
	903	763	129.455
	910	770	129.958
	917	777	130.459
	924	777	130.959
	931	784	131.453
	938	791	131.948
	945	798	132.441
	952	805	132.930
	959	812	133.417
	966	819	133.903
	973	819	134.387
	980	833	134.869
	987	833	135.353
	994	840	135.832
	1001	847	136.309
	1008	854	136.778
	1015	861	137.258
	1022	868	137.726
	1029	875	138.195
	1036	882	138.664
	1043	882	139.132
	1050	889	139.599
	1057	889	140.062
	1064	903	140.525
	1071	903	140.988
	1078	910	141.448
	1085	917	141.908
	1092	917	142.362
	1099	931	142.814
	1106	938	143.271
	1113	945	143.725
	1120	945	144.179
	1127	952	144.629
	1134	952	145.074
